;Day;NDWI
614;03/12/2019;0,34976673
615;04/12/2019;0,3
616;05/12/2019;0,312995695
617;06/12/2019;0,407945506
618;07/12/2019;0,33
619;08/12/2019;0,435903524
620;09/12/2019;0,380156044
621;10/12/2019;0,448482238
622;11/12/2019;0,454768256
623;12/12/2019;0,425303195
624;13/12/2019;0,415895524
625;14/12/2019;0,323162911
626;15/12/2019;0,415845589
627;16/12/2019;0,219465839
628;17/12/2019;0,234973048
629;18/12/2019;0,172961015
630;19/12/2019;0,295528896
631;20/12/2019;0,243611539
632;21/12/2019;0,227594107
633;22/12/2019;0,38
634;23/12/2019;0,344813065
635;24/12/2019;0,222755847
636;25/12/2019;0,245904897
637;26/12/2019;0,372545859
638;27/12/2019;0,340723535
639;28/12/2019;0,437237977
640;29/12/2019;0,321660993
641;30/12/2019;0,369497953
642;31/12/2019;0,505430396
643;01/01/2020;0,488270769
644;02/01/2020;0,494956295
645;03/01/2020;0,44
646;04/01/2020;0,351785835
647;05/01/2020;0,297633203
648;06/01/2020;0,46
649;07/01/2020;0,432674934
650;08/01/2020;0,474273949
651;09/01/2020;0,47907509
652;10/01/2020;0,482637096
653;11/01/2020;0,445335328
654;12/01/2020;0,446806589
655;13/01/2020;0,482982803
656;14/01/2020;0,469726433
657;15/01/2020;0,475117993
658;16/01/2020;0,45
659;17/01/2020;0,416622938
660;18/01/2020;0,41
661;19/01/2020;0,470102184
662;20/01/2020;0,341005547
663;21/01/2020;0,233113198
664;22/01/2020;0,290823728
665;23/01/2020;0,44
666;24/01/2020;0,392325203
667;25/01/2020;0,306908834
668;26/01/2020;0,44
669;27/01/2020;0,431288793
670;28/01/2020;0,431064655
671;29/01/2020;0,284176462
672;30/01/2020;0,418555952
673;31/01/2020;0,428479207
674;01/02/2020;0,384781939
675;02/02/2020;0,43
676;03/02/2020;0,316682258
677;04/02/2020;0,196232076
678;05/02/2020;0,322145886
679;06/02/2020;0,355273615
680;07/02/2020;0,43
681;08/02/2020;0,418302702
682;09/02/2020;0,453070245
683;10/02/2020;0,321275196
684;11/02/2020;0,271032844
685;12/02/2020;0,43
686;13/02/2020;0,432146418
687;14/02/2020;0,351789775
688;15/02/2020;0,5
689;16/02/2020;0,484336425
690;17/02/2020;0,47
691;18/02/2020;0,477274841
692;19/02/2020;0,465543162
693;20/02/2020;0,43
694;21/02/2020;0,495488765
695;22/02/2020;0,5
696;23/02/2020;0,495122436
697;24/02/2020;0,504003782
698;25/02/2020;0,52
699;26/02/2020;0,339881305
700;27/02/2020;0,44
701;28/02/2020;0,283435411
702;29/02/2020;0,442968654
703;01/03/2020;0,44
704;02/03/2020;0,383739197
705;03/03/2020;0,384307764
706;04/03/2020;0,453060681
707;05/03/2020;0,468608643
708;06/03/2020;0,403904489
709;07/03/2020;0,395830737
710;08/03/2020;0,49751911
711;09/03/2020;0,464323902
712;10/03/2020;0,502753273
713;11/03/2020;0,46
714;12/03/2020;0,42256092
715;13/03/2020;0,443783217
716;14/03/2020;0,312728451
717;15/03/2020;0,356503611
718;16/03/2020;0,48
719;17/03/2020;0,298963445
720;18/03/2020;0,396682626
721;19/03/2020;0,359777446
722;20/03/2020;0,386219059
723;21/03/2020;0,383585891
724;22/03/2020;0,356177448
725;23/03/2020;0,402359164
726;24/03/2020;0,434005364
727;25/03/2020;0,397784839
728;26/03/2020;0,455159481
729;27/03/2020;0,466632747
730;28/03/2020;0,403718611
731;29/03/2020;0,373779861
732;30/03/2020;0,402374996
733;31/03/2020;0,39
734;01/04/2020;0,480369292
735;02/04/2020;0,434146756
736;03/04/2020;0,342343277
737;04/04/2020;0,391355344
738;05/04/2020;0,36
739;06/04/2020;0,352827253
740;07/04/2020;0,277525314
741;08/04/2020;0,269158877
742;09/04/2020;0,326145916
743;10/04/2020;0,28
744;11/04/2020;0,251023178
745;12/04/2020;0,27
746;13/04/2020;0,155717374
747;14/04/2020;0,146795186
748;15/04/2020;0,25
749;16/04/2020;0,268113326
750;17/04/2020;0,23
751;18/04/2020;0,171977418
752;19/04/2020;0,176698483
753;20/04/2020;0,155691824
754;21/04/2020;0,222293467
755;22/04/2020;0,317335611
756;23/04/2020;0,241015216
757;24/04/2020;0,201674083
758;25/04/2020;0,17
759;26/04/2020;0,23468168
760;27/04/2020;0,1
761;28/04/2020;0,192226123
762;29/04/2020;0,128392654
763;30/04/2020;0,1
764;01/05/2020;0,096403912
765;02/05/2020;0,156000993
766;03/05/2020;0,110366471
767;04/05/2020;0,071740021
768;05/05/2020;0,15
769;06/05/2020;0,120200885
770;07/05/2020;0,08
771;08/05/2020;0,103957637
772;09/05/2020;0,113456355
773;10/05/2020;0,07
774;11/05/2020;0,083230319
775;12/05/2020;0,06
776;13/05/2020;0,091836161
777;14/05/2020;0,088221153
778;15/05/2020;0,09190774
779;16/05/2020;0,027249274
780;17/05/2020;0,073463274
781;18/05/2020;0,109981631
782;19/05/2020;0,117336989
783;20/05/2020;0,155681294
784;21/05/2020;0,131009182
785;22/05/2020;0,09
786;23/05/2020;0,127407481
787;24/05/2020;0,108387811
788;25/05/2020;0,073504982
789;26/05/2020;0,075799167
790;27/05/2020;0,12
791;28/05/2020;0,114830143
792;29/05/2020;0,139063147
793;30/05/2020;0,11
794;31/05/2020;0,184286594
795;01/06/2020;0,14
796;02/06/2020;0,144885108
797;03/06/2020;0,132701604
798;04/06/2020;0,16
799;05/06/2020;0,277451506
800;06/06/2020;0,18
801;07/06/2020;0,137476586
802;08/06/2020;0,135456602
803;09/06/2020;0,143938565
804;10/06/2020;0,139529026
805;11/06/2020;0,132807908
806;12/06/2020;0,128954191
807;13/06/2020;0,110140705
808;14/06/2020;0,17
809;15/06/2020;0,094207905
810;16/06/2020;0,19
811;17/06/2020;0,096780575
812;18/06/2020;0,088648953
813;19/06/2020;0,078777228
814;20/06/2020;0,109331941
815;21/06/2020;0,19
816;22/06/2020;0,13273193
817;23/06/2020;0,168103234
818;24/06/2020;0,19
819;25/06/2020;0,172938283
820;26/06/2020;0,17
821;27/06/2020;0,151237822
822;28/06/2020;0,094103526
823;29/06/2020;0,15
824;30/06/2020;0,123660392
825;01/07/2020;0,16
826;02/07/2020;0,151993615
827;03/07/2020;0,112887567
828;04/07/2020;0,107118786
829;05/07/2020;0,15419706
830;06/07/2020;0,15
831;07/07/2020;0,105736138
832;08/07/2020;0,097006653
833;09/07/2020;0,054820842
834;10/07/2020;0,055481525
835;11/07/2020;0,066704519
836;12/07/2020;0,111996111
837;13/07/2020;0,115149434
838;14/07/2020;0,08346625
839;15/07/2020;0,048005461
840;16/07/2020;0,07
841;17/07/2020;0,048937505
842;18/07/2020;0,057515992
843;19/07/2020;0,08
844;20/07/2020;0,086639319
845;21/07/2020;0,07
846;22/07/2020;0,074170304
847;23/07/2020;0,107392644
848;24/07/2020;0,12
849;25/07/2020;0,137846672
850;26/07/2020;0,12
851;27/07/2020;0,148557553
852;28/07/2020;0,152961459
853;29/07/2020;0,11
854;30/07/2020;0,128496404
855;31/07/2020;0,11
856;01/08/2020;0,12496989
857;02/08/2020;0,107026708
858;03/08/2020;0,11
859;04/08/2020;0,091386087
860;05/08/2020;0,138086881
861;06/08/2020;0,115053731
862;07/08/2020;0,106003334
863;08/08/2020;0,11
864;09/08/2020;0,10461667
865;10/08/2020;0,11
866;11/08/2020;0,117448651
867;12/08/2020;0,116462573
868;13/08/2020;0,12
869;14/08/2020;0,095442092
870;15/08/2020;0,12
871;16/08/2020;0,081270914
872;17/08/2020;0,094756601
873;18/08/2020;0,10891817
874;19/08/2020;0,111354735
875;20/08/2020;0,1
876;21/08/2020;0,113331372
877;22/08/2020;0,115588153
878;23/08/2020;0,12
879;24/08/2020;0,111359845
880;25/08/2020;0,12
881;26/08/2020;0,100588149
882;27/08/2020;0,096565788
883;28/08/2020;0,08
884;29/08/2020;0,103983382
885;30/08/2020;0,060924934
886;31/08/2020;0,115642927
887;01/09/2020;0,118243415
888;02/09/2020;0,142425111
889;03/09/2020;0,087925868
890;04/09/2020;0,131219736
891;05/09/2020;0,085829634
892;06/09/2020;0,108638241
893;07/09/2020;0,053713349
894;08/09/2020;0,039513488
895;09/09/2020;0,066830584
896;10/09/2020;0,058561058
897;11/09/2020;0,037136949
898;12/09/2020;0,07
899;13/09/2020;0,066588557
900;14/09/2020;0,048735834
901;15/09/2020;0,063534447
902;16/09/2020;0,075680115
903;17/09/2020;0,116001116
904;18/09/2020;0,113025352
905;19/09/2020;0,04
906;20/09/2020;0,067479282
907;21/09/2020;0,072005433
908;22/09/2020;0,045886672
909;23/09/2020;0,061136545
910;24/09/2020;0,081380111
911;25/09/2020;0,054374409
912;26/09/2020;0,093575901
913;27/09/2020;0,06
914;28/09/2020;0,147506041
915;29/09/2020;0,09
916;30/09/2020;0,069245602
917;01/10/2020;0,057522027
918;02/10/2020;0,073616387
919;03/10/2020;0,112710752
920;04/10/2020;0,079956104
921;05/10/2020;0,055091767
922;06/10/2020;0,087576224
923;07/10/2020;0,0860419
924;08/10/2020;0,102825773
925;09/10/2020;0,108378346
926;10/10/2020;0,148184704
927;11/10/2020;0,117103334
928;12/10/2020;0,180239181
929;13/10/2020;0,199782643
930;14/10/2020;0,151303369
931;15/10/2020;0,164469495
932;16/10/2020;0,267675037
933;17/10/2020;0,21669092
934;18/10/2020;0,205131839
935;19/10/2020;0,207823175
936;20/10/2020;0,204740334
937;21/10/2020;0,190326706
938;22/10/2020;0,14
